date_time,num_cases,num_diseased,type
2020-03-06,1,0,fitted
2020-03-07,0,0,fitted
2020-03-08,0,0,fitted
2020-03-09,0,0,fitted
2020-03-10,0,0,fitted
2020-03-11,2,0,fitted
2020-03-12,2,0,fitted
2020-03-13,1,0,fitted
2020-03-14,10,0,fitted
2020-03-15,10,0,fitted
2020-03-16,6,0,fitted
2020-03-17,7,0,fitted
2020-03-18,5,0,fitted
2020-03-19,8,0,fitted
2020-03-20,27,2,fitted
2020-03-21,5,0,fitted
2020-03-22,4,1,fitted
2020-03-23,29,2,fitted
2020-03-24,41,2,fitted
2020-03-25,14,0,fitted
2020-03-26,7,1,fitted
2020-03-27,38,2,fitted
2020-03-28,38,3,fitted
2020-03-29,33,0,fitted
2020-03-30,55,3,fitted
2020-03-31,40,3,fitted
2020-04-01,81,10,fitted
2020-04-02,68,4,fitted
2020-04-03,44,4,fitted
2020-04-04,104,8,fitted
2020-04-05,30,5,fitted
2020-04-06,53,4,fitted
2020-04-07,84,4,fitted
2020-04-08,130,8,fitted
2020-04-09,36,3,fitted
2020-04-10,88,2,fitted
2020-04-11,44,4,fitted
2020-04-12,19,3,fitted
2020-04-13,24,1,fitted
2020-04-14,36,3,fitted
2020-04-15,48,7,fitted
2020-04-16,43,1,fitted
2020-04-17,59,0,fitted
2020-04-18,86,2,fitted
2020-04-19,119,3,fitted
2020-04-20,79,2,fitted
2020-04-21,74,1,fitted
2020-04-22,84,0,fitted
2020-04-23,47,5,fitted
2020-04-24,179,5,fitted
2020-04-25,90,3,fitted
2020-04-26,93,3,fitted
2020-04-27,105,2,fitted
2020-04-28,64,3,fitted
2020-04-29,133,6,fitted
2020-04-30,89,5,fitted
2020-05-01,144,8,fitted
2020-05-02,71,2,fitted
2020-05-03,111,3,fitted
2020-05-04,127,3,fitted
2020-05-05,193,14,fitted
2020-05-06,200,5,fitted
2020-05-07,129,3,fitted
2020-05-08,225,10,fitted
2020-05-09,209,9,fitted
2020-05-10,127,1,fitted
2020-05-11,150,3,fitted
2020-05-12,258,7,fitted
2020-05-13,121,3,fitted
2020-05-14,207,4,fitted
2020-05-15,115,3,fitted
2020-05-16,278,7,fitted
2020-05-17,241,2,fitted
2020-05-18,197,2,fitted
2020-05-19,216,10,fitted
2020-05-20,253,5,fitted
2020-05-21,122,3,fitted
2020-05-22,280,7,fitted
2020-05-23,382,11,fitted
2020-05-24,237,8,fitted
2020-05-25,176,5,fitted
2020-05-26,355,5,fitted
2020-05-27,305,11,fitted
2020-05-28,490,10,fitted
2020-05-29,628,12,fitted
2020-05-30,478,21,fitted
2020-05-31,346,3,fitted
2020-06-01,383,10,fitted
2020-06-02,374,9,fitted
2020-06-03,505,13,fitted
2020-06-04,535,14,fitted
2020-06-05,403,10,fitted
2020-06-06,378,5,fitted
2020-06-07,319,10,fitted
2020-06-08,439,9,fitted
2020-06-09,391,13,fitted
2020-06-10,424,9,fitted
2020-06-11,408,9,fitted
2020-06-12,416,15,fitted
2020-06-13,564,20,fitted
2020-06-14,627,22,fitted
2020-06-15,414,12,fitted
2020-06-16,807,28,fitted
2020-06-17,81,3,fitted
2020-06-18,806,35,fitted
2020-06-19,1082,26,fitted
2020-06-20,697,19,fitted
2020-06-21,875,30,fitted
2020-06-22,1182,34,fitted
2020-06-23,1332,37,fitted
2020-06-24,114,1,fitted
2020-06-25,1277,45,fitted
2020-06-26,1011,32,fitted
2020-06-27,2155,85,fitted
2020-06-28,1469,59,fitted
2020-06-29,24,3,fitted
2020-06-30,706,18,fitted
2020-07-01,1415,54,fitted
2020-07-02,1334,51,fitted
2020-07-03,1448,38,fitted
2020-07-04,1181,45,fitted
2020-07-05,1287,34,fitted
2020-07-06,1096,44,fitted
2020-07-07,1626,58,fitted
2020-07-08,1506,76,fitted
2020-07-09,1646,67,fitted
2020-07-10,2685,76,fitted
2020-07-11,2516,81,fitted
2020-07-12,2198,73,fitted
2020-07-13,1724,57,fitted
2020-07-14,1907,65,fitted
2020-07-15,2461,114,fitted
2020-07-16,3129,130,fitted
2020-07-17,156,8,fitted
2020-07-18,1876,89,fitted
2020-07-19,3801,139,fitted
2020-07-20,4092,189,fitted
2020-07-21,3571,150,fitted
2020-07-22,3967,122,fitted
2020-07-23,2328,101,fitted
2020-07-24,3270,102,fitted
2020-07-25,2483,128,fitted
2020-07-26,106,1,fitted
2020-07-27,3205,88,fitted
2020-07-28,8580,330,fitted
2020-07-29,3236,78,fitted
2020-07-30,3179,113,fitted
2020-07-31,550,7,fitted
2020-08-01,3934,120,fitted
2020-08-02,6897,228,fitted
2020-08-03,3040,122,fitted
2020-08-04,4936,154,fitted
2020-08-05,3629,90,fitted
2020-08-06,2788,75,fitted
2020-08-07,3383,68,fitted
2020-08-08,3428,108,fitted
2020-08-09,2177,72,fitted
2020-08-10,664,16,fitted
2020-08-11,8464,174,fitted
2020-08-12,1182,23,fitted
2020-08-13,7083,127,fitted
2020-08-14,109,2,fitted
2020-08-15,5046,93,fitted
2020-08-16,8398,130,fitted
2020-08-17,3581,57,fitted
2020-08-18,764,20,fitted
2020-08-19,7903,198,fitted
2020-08-20,3655,87,fitted
2020-08-21,3683,84,fitted
2020-08-22,2910,49,fitted
2020-08-23,3486,56,fitted
2020-08-24,3126,76,fitted
2020-08-25,3263,65,fitted
2020-08-26,2494,65,fitted
2020-08-27,2154,41,fitted
2020-08-28,2871,51,fitted
2020-08-29,1970,49,fitted
2020-08-30,1912,36,fitted
2020-08-31,3414,56,fitted
2020-09-01,2889,54,fitted
2020-09-02,2027,51,fitted
2020-09-03,2555,63,fitted
2020-09-04,2108,43,fitted
2020-09-05,2063,43,fitted
2020-09-06,1218,21,fitted
2020-09-07,2631,37,fitted
2020-09-08,1873,35,fitted
2020-09-09,1751,34,fitted
2020-09-10,2736,48,fitted
2020-09-11,2178,44,fitted
2020-09-12,1561,53,fitted
2020-09-13,869,22,fitted
2020-09-14,1905,30,fitted
2020-09-15,2090,24,fitted
2020-09-16,2093,48,fitted
2020-09-17,2067,27,fitted
2020-09-18,1997,36,fitted
2020-09-19,1653,28,fitted
2020-09-20,1432,30,fitted
2020-09-21,1709,20,fitted
2020-09-22,1663,29,fitted
2020-09-23,2196,26,fitted
2020-09-24,1802,30,fitted
2020-09-25,1756,29,fitted
2020-09-26,1476,21,fitted
2020-09-27,952,19,fitted
2020-09-28,1501,23,fitted
2020-09-29,2019,30,fitted
2020-09-30,1382,22,fitted
2020-10-01,1705,25,fitted
2020-10-02,2281,35,fitted
2020-10-03,2041,34,fitted
2020-10-04,1645,32,fitted
2020-10-05,1624,23,fitted
2020-10-06,1766,29,fitted
2020-10-07,1902,33,fitted
2020-10-08,2054,42,fitted
2020-10-09,1696,24,fitted
2020-10-10,1606,36,fitted
2020-10-11,1075,21,fitted
2020-10-12,1038,22,fitted
2020-10-13,968,21,fitted
2020-10-14,1361,23,fitted
2020-10-15,2334,40,fitted
2020-10-16,1768,35,fitted
2020-10-17,1652,31,fitted
2020-10-18,1150,29,fitted
2020-10-19,1741,26,fitted
2020-10-20,2048,31,fitted
2020-10-21,1841,21,fitted
2020-10-22,1960,26,fitted
2020-10-23,2053,36,fitted
2020-10-24,1440,23,fitted
2020-10-25,1236,21,fitted
2020-10-26,1887,29,fitted
2020-10-27,2258,30,fitted
2020-10-28,2057,31,fitted
2020-10-29,2118,23,fitted
2020-10-30,1826,28,fitted
2020-10-31,1945,28,fitted
2020-11-01,1305,30,fitted
2020-11-02,1848,30,fitted
2020-11-03,1933,40,fitted
2020-11-04,2029,43,fitted
2020-11-05,1624,27,fitted
2020-11-06,1764,36,fitted
2020-11-07,1696,35,fitted
2020-11-08,1584,27,fitted
2020-11-09,1701,25,fitted
2020-11-10,1960,39,fitted
2020-11-11,1717,24,fitted
2020-11-12,2055,34,fitted
2020-11-13,1486,29,fitted
2020-11-14,1444,23,fitted
2020-11-15,926,19,fitted
2020-11-16,1855,39,fitted
2020-11-17,2238,33,fitted
2020-11-18,1397,25,fitted
2020-11-19,2189,47,fitted
2020-11-20,1711,30,fitted
2020-11-21,2030,26,fitted
2020-11-22,1471,29,fitted
2020-11-23,1899,25,fitted
2020-11-24,2416,39,fitted
2020-11-25,2744,31,fitted
2020-11-26,2486,31,fitted
2020-11-27,2768,33,fitted
2020-11-28,2014,26,fitted
2020-11-29,1617,29,fitted
2020-11-30,1984,40,fitted
2020-12-01,2463,28,fitted
2020-12-02,2410,33,fitted
2020-12-03,1804,29,fitted
2020-12-04,3137,45,fitted
2020-12-05,2508,41,fitted
2020-12-06,1631,29,fitted
2020-12-07,2490,46,fitted
2020-12-08,2123,24,fitted
2020-12-09,2844,34,fitted
2020-12-10,3047,48,fitted
2020-12-11,3070,44,fitted
2020-12-12,3116,59,fitted
2020-12-13,2198,39,fitted
2020-12-14,3183,47,fitted
2020-12-15,3697,54,fitted
2020-12-16,4445,60,fitted
2020-12-17,3224,60,fitted
2020-12-18,3967,76,fitted
2020-12-19,3405,48,fitted
2020-12-20,2629,49,fitted
2020-12-21,3810,82,fitted
2020-12-22,4520,81,fitted
2020-12-23,4348,77,fitted
2020-12-24,4471,83,fitted
2020-12-25,2065,51,fitted
2020-12-26,3493,74,fitted
2020-12-27,3710,104,fitted
2020-12-28,4820,96,fitted
2020-12-29,5664,115,fitted
2020-12-30,6302,104,fitted
2020-12-31,3742,86,fitted
2021-01-01,1591,48,fitted
2021-01-02,3748,80,fitted
2021-01-03,5650,121,fitted
2021-01-04,4241,106,fitted
2021-01-05,6861,131,fitted
2021-01-06,6296,134,fitted
2021-01-07,5821,115,fitted
2021-01-08,5336,106,fitted
2021-01-09,4720,108,fitted
